Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,3262.129883,3278.820068,3188.830078,3269.800049,3269.800049,0
2018-12-11,3309.300049,3324.409912,3244.870117,3274.479980,3274.479980,0
2018-12-12,3307.979980,3351.659912,3302.439941,3316.979980,3316.979980,0
2018-12-13,3324.050049,3333.030029,3247.649902,3264.169922,3264.169922,0
2018-12-14,3235.770020,3255.010010,3197.639893,3204.219971,3204.219971,0
2018-12-17,3195.489990,3248.300049,3125.149902,3146.310059,3146.310059,0
2018-12-18,3170.050049,3172.929932,3053.770020,3088.000000,3088.000000,0
2018-12-19,3092.979980,3138.659912,2991.149902,3025.780029,3025.780029,0
2018-12-20,3017.760010,3029.250000,2939.409912,2969.770020,2969.770020,0
2018-12-21,2988.310059,2988.310059,2844.120117,2850.469971,2850.469971,0
2018-12-24,2827.489990,2878.030029,2801.139893,2816.540039,2816.540039,0
2018-12-26,2835.280029,2990.479980,2834.899902,2990.219971,2990.219971,0
2018-12-27,2939.879883,2989.010010,2878.780029,2988.010010,2988.010010,0
2018-12-28,3001.360107,3037.209961,2968.840088,2985.330078,2985.330078,0
2018-12-31,3007.979980,3049.419922,3003.870117,3043.620117,3043.620117,0
2019-01-02,2991.919922,3070.300049,2990.379883,3061.260010,3061.260010,0
2019-01-03,3145.300049,3151.270020,3069.719971,3071.679932,3071.679932,0
2019-01-04,3124.629883,3235.719971,3123.310059,3228.219971,3228.219971,0
2019-01-07,3269.590088,3356.820068,3268.260010,3335.040039,3335.040039,0
2019-01-08,3359.530029,3362.590088,3287.070068,3357.500000,3357.500000,0
2019-01-09,3368.699951,3398.090088,3360.469971,3379.209961,3379.209961,0
2019-01-10,3364.909912,3425.610107,3340.560059,3425.429932,3425.429932,0
2019-01-11,3408.620117,3432.159912,3396.689941,3428.669922,3428.669922,0
2019-01-14,3403.610107,3404.070068,3367.459961,3368.590088,3368.590088,0
2019-01-15,3376.550049,3435.709961,3372.409912,3434.860107,3434.860107,0
2019-01-16,3430.969971,3475.909912,3413.659912,3414.959961,3414.959961,0
2019-01-17,3406.620117,3472.600098,3406.510010,3452.909912,3452.909912,0
2019-01-18,3463.389893,3476.310059,3425.120117,3475.330078,3475.330078,0
2019-01-22,3448.479980,3449.060059,3398.689941,3416.270020,3416.270020,0
2019-01-23,3422.149902,3450.050049,3352.879883,3389.389893,3389.389893,0
2019-01-24,3389.389893,3402.139893,3372.449951,3391.169922,3391.169922,0
2019-01-25,3412.699951,3442.090088,3393.840088,3440.909912,3440.909912,0
2019-01-28,3400.919922,3409.489990,3356.580078,3370.699951,3370.699951,0
2019-01-29,3371.540039,3388.500000,3352.629883,3377.909912,3377.909912,0
2019-01-30,3365.959961,3404.409912,3335.100098,3402.719971,3402.719971,0
2019-01-31,3403.169922,3454.189941,3400.679932,3451.360107,3451.360107,0
2019-02-01,3451.330078,3474.050049,3435.149902,3469.510010,3469.510010,0
2019-02-04,3465.860107,3466.620117,3433.500000,3466.620117,3466.620117,0
2019-02-05,3461.080078,3497.199951,3447.030029,3462.020020,3462.020020,0
2019-02-06,3466.610107,3476.260010,3434.709961,3455.409912,3455.409912,0
2019-02-07,3431.050049,3431.100098,3356.070068,3369.310059,3369.310059,0
2019-02-08,3348.340088,3391.419922,3347.429932,3390.800049,3390.800049,0
2019-02-11,3405.250000,3411.489990,3383.370117,3408.280029,3408.280029,0
2019-02-12,3415.409912,3443.500000,3413.310059,3442.560059,3442.560059,0
2019-02-13,3455.229980,3473.219971,3444.270020,3452.000000,3452.000000,0
2019-02-14,3444.340088,3473.840088,3434.580078,3462.439941,3462.439941,0
2019-02-15,3480.270020,3521.429932,3476.239990,3520.689941,3520.689941,0
2019-02-19,3514.239990,3532.989990,3498.159912,3500.899902,3500.899902,0
2019-02-20,3504.149902,3510.719971,3462.149902,3492.790039,3492.790039,0
2019-02-21,3486.689941,3489.370117,3419.629883,3428.689941,3428.689941,0
2019-02-22,3438.550049,3483.889893,3431.330078,3482.399902,3482.399902,0
2019-02-25,3530.330078,3560.020020,3529.600098,3552.050049,3552.050049,0
2019-02-26,3539.070068,3561.510010,3527.149902,3537.620117,3537.620117,0
2019-02-27,3534.729980,3595.020020,3532.429932,3590.189941,3590.189941,0
2019-02-28,3556.889893,3567.590088,3528.070068,3543.409912,3543.409912,0
2019-03-01,3567.409912,3620.750000,3558.540039,3619.479980,3619.479980,0
2019-03-04,3641.479980,3646.159912,3539.010010,3584.100098,3584.100098,0
2019-03-05,3582.919922,3606.020020,3561.189941,3567.000000,3567.000000,0
2019-03-06,3564.439941,3565.310059,3453.489990,3454.949951,3454.949951,0
2019-03-07,3452.510010,3458.469971,3407.500000,3431.729980,3431.729980,0
2019-03-08,3395.989990,3418.870117,3384.290039,3414.129883,3414.129883,0
2019-03-11,3424.639893,3489.239990,3424.120117,3488.360107,3488.360107,0
